h3_cell,center_lat,center_lng
882a100005fffff,40.86079023886115,-73.79273483593417
882a100025fffff,40.86002747391816,-73.82273555119615
882a100027fffff,40.852148677811094,-73.82030941693367
882a100039fffff,40.84503217170126,-73.78789350278213
882a10003bfffff,40.83715424499767,-73.78547406271933
882a1000a7fffff,40.797017763364344,-73.80334940159503
882a1000adfffff,40.81039473044438,-73.79739432305362
882a1000b1fffff,40.78440216549685,-73.77934931025457
882a1000b5fffff,40.78677397583034,-73.79013896809366
882a1000b9fffff,40.78990219594882,-73.7709745679948
882a1000bdfffff,40.792274965648645,-73.78176499218351
882a100101fffff,40.87501550844368,-73.85760086913739
882a100103fffff,40.867135848557474,-73.85516803406857
882a100105fffff,40.877383170059645,-73.8684160308666
882a100107fffff,40.86950346884012,-73.86598123502769
882a100109fffff,40.88052728166653,-73.84921859017174
882a10010bfffff,40.87264692716563,-73.84678689393489
882a10010dfffff,40.88289590450134,-73.8600345265709
882a100111fffff,40.856888427592864,-73.84192596614102
882a100113fffff,40.84901028299649,-73.83949673376893
882a100115fffff,40.85925692508074,-73.85273602095643
882a100117fffff,40.85137873825123,-73.85030482939324
882a100119fffff,40.86239785072475,-73.83354519157832
882a10011bfffff,40.85451901171241,-73.83111709794215
882a10011dfffff,40.864767309061804,-73.84435601939386
882a100121fffff,40.87423595028035,-73.8876111934982
882a100123fffff,40.866356903473715,-73.8851732993563
882a100125fffff,40.87660081069531,-73.89842794985789
882a100127fffff,40.86872172367685,-73.89598809488997
882a100129fffff,40.87974991164192,-73.879232378547
882a10012bfffff,40.87187016953823,-73.87679562169612
882a10012dfffff,40.88211573281905,-73.89004991160257
882a100131fffff,40.85611289344292,-73.87192457746747
882a100133fffff,40.84823535992728,-73.8694902892732
882a100135fffff,40.85847859263733,-73.8827362287681
882a100137fffff,40.850601018009236,-73.88029998132524
882a100139fffff,40.86162450380443,-73.86354726181403
882a10013bfffff,40.85374627519048,-73.86111411081755
882a100141fffff,40.89392057299802,-73.84326577639459
882a100143fffff,40.88603878797192,-73.84083439783454
882a100145fffff,40.896290198907174,-73.85408444936499
882a100147fffff,40.88840837232645,-73.85165110851239
882a10014dfffff,40.90180309393233,-73.84569797720526
882a100151fffff,40.875787277150664,-73.82759027998175
882a100153fffff,40.86790700711056,-73.82516250540982
882a100155fffff,40.878157739092295,-73.83840384111703
882a100157fffff,40.8702774265973,-73.83597410583417
882a10015dfffff,40.88366828380076,-73.83001887531921
882a100163fffff,40.88526360722487,-73.87085164973907
882a100165fffff,40.89551160277023,-73.88410836376504
882a100167fffff,40.887630389465414,-73.88166995910034
882a100169fffff,40.89865890417818,-73.86490431016527
882a10016bfffff,40.89077703649229,-73.86246900677736
882a100181fffff,40.81987336215442,-73.84058827048476
882a100185fffff,40.822240729703864,-73.8513897208518
882a100187fffff,40.814366186760736,-73.84896067482975
882a100189fffff,40.82538027281615,-73.83221395786708
882a10018dfffff,40.82774860002102,-73.84301617992412
882a10019bfffff,40.799387790637354,-73.81414338567764
882a10019dfffff,40.809630621406825,-73.82736287087899
882a1001a1fffff,40.81909808633295,-73.87056321484759
882a1001a5fffff,40.82146266052413,-73.88136625944885
882a1001a7fffff,40.81358872870988,-73.8789321654609
882a1001a9fffff,40.82460718035991,-73.8621923554774
882a1001abfffff,40.816732594954956,-73.85976135311674
882a1001adfffff,40.82697271375174,-73.8729961737882
882a1001bdfffff,40.80885874717039,-73.85733117119683
882a1001c1fffff,40.83876354521809,-73.82626337090076
882a1001c3fffff,40.83088691821057,-73.82383773668215
882a1001c5fffff,40.84113287551008,-73.83706832187046
882a1001c7fffff,40.833256205370965,-73.83464073003871
882a1001cbfffff,40.83639329780208,-73.81545960663557
882a1001cdfffff,40.846640909797756,-73.82868982451858
882a1001d1fffff,40.82064086898015,-73.81061307126454
882a1001d5fffff,40.823011029012086,-73.82141292145643
882a1001d7fffff,40.81513587785939,-73.81898892481757
882a1001dbfffff,40.81826979309185,-73.79981440786328
882a1001ddfffff,40.82851671437431,-73.81303592978719
882a1001e1fffff,40.83799202817854,-73.8562502738453
882a1001e3fffff,40.83011601025546,-73.85381958705473
882a1001e5fffff,40.840358563083285,-73.86705682314845
882a1001e7fffff,40.8324825031484,-73.86462417868562
882a1001e9fffff,40.84350128830653,-73.84787445897156
882a1001ebfffff,40.83562457548406,-73.84544490928415
882a1001edfffff,40.845868783236014,-73.85868178163048
882a100333fffff,40.88680617516412,-73.81081689021755
882a100337fffff,40.88917856075409,-73.82163199624583
882a100421fffff,40.73080067041335,-73.70262863705075
882a10042dfffff,40.738669480267184,-73.70502855194269
882a100501fffff,40.748172378184854,-73.74813458612917
882a100503fffff,40.74030337345595,-73.74572687473018
882a100505fffff,40.75054582660599,-73.75891406388425
882a100507fffff,40.74267677427308,-73.75650440274649
882a100509fffff,40.75366771691779,-73.73976286875838
882a10050bfffff,40.74579801896888,-73.73735629549107
882a100511fffff,40.730060847115276,-73.73254558264262
882a100513fffff,40.722193373678714,-73.73014144225817
882a10051bfffff,40.72768567468987,-73.7217723775234
882a100521fffff,40.74742084337603,-73.77806301712947
882a100523fffff,40.73955243778737,-73.77565026939871
882a100525fffff,40.74979151091982,-73.78884410236132
882a100527fffff,40.74192305884269,-73.78642940482466
882a10052bfffff,40.74504926437014,-73.76728311706864
882a100533fffff,40.721446411855325,-73.76005315981193
882a100535fffff,40.7316847730471,-73.77323833488155
882a100539fffff,40.73480846299955,-73.75409555389729
882a10053bfffff,40.72694089301964,-73.75168751693448
882a100541fffff,40.7670339218952,-73.73379549630022
882a100543fffff,40.75916278993817,-73.73138925034414
882a100547fffff,40.76153815590234,-73.74217025379035
882a100555fffff,40.75129239900481,-73.72898381589026
882a100557fffff,40.74342274932952,-73.7265791925366
882a100559fffff,40.75440932554997,-73.70983081023883
882a10055bfffff,40.74653903205737,-73.70742927620502
882a10055dfffff,40.756786513030065,-73.72060943563815
882a100561fffff,40.76628615351195,-73.76373582463535
882a100565fffff,40.76865878441421,-73.77452039089896
882a100567fffff,40.760788203953915,-73.77210715266501
882a100569fffff,40.771783837718694,-73.75536259409652
882a10056dfffff,40.77415742761554,-73.76614792505427
882a100581fffff,40.69310492018891,-73.73129763639972
882a100585fffff,40.69547803071458,-73.74206347991341
882a100587fffff,40.687614170709836,-73.73965949635947
882a10058dfffff,40.70096947371878,-73.73370048407284
882a100595fffff,40.67737804141309,-73.72649436830596
882a100597fffff,40.66951571663289,-73.72409394708507
882a1005a1fffff,40.69235757026702,-73.76119084642028
